indice,area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
0,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.5,0.033333,0.779221,0,0,0.333333,0,0,0.333333,0.333333,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0
1,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.333333,0.333333,0.519481,0.142857,0.4,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1
2,urbana,10150,0,0,0,1,1,1,0.833333,0.833333,0.833333,0,0,0,0.1,0.1,0.090909,0,0.14,0.833333,0,0.833333,0.833333,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0.25,1,1,1,1,0.25,0.5,0.25,0.25,0.5,0,1,0.25,0
3,urbana,10150,0,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.116667,0.083333,0.25974,0,0.4,0.666667,0.666667,0.833333,0.333333,0.333333,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0.25,1,1,1,1,0,1,0,0,0,0,0.5,0.5,0
4,urbana,10150,1,0,1,1,1,1,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.066667,0.066667,0.194805,0,0.3,0.5,0.833333,0.833333,0.833333,0.833333,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0.5,1,1,1,1,0.5,0,0,0.5,0.5,0.5,0.25,0.25,0
5,urbana,10150,0,0,0,0,0,0,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.5,0.033333,0.779221,0,0,0.333333,0,0,0.333333,0.333333,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0
6,urbana,10150,0,0,0,1,1,1,0.166667,0.5,0.5,0,0,0,0.066667,0.066667,0.103896,0.057143,0,0,0,0.833333,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,1
7,urbana,10150,0,0,0,0,0,0,0.833333,0.5,0.5,0.5,0.5,0.5,0.066667,0.066667,0.038961,0,0.06,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0.5,1,1,1,1,0,0,0,0.75,0,1,1,0,0
8,urbana,10150,0,0,0,0,0,1,1,0.833333,0.5,0.833333,0.5,0,0.05,0.05,0.064935,0,0.1,0.5,0.833333,0.833333,0.833333,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0.5,1,1,1,1,0.25,0.25,0,0.5,0,0.5,0,0.5,0.5
9,urbana,10150,1,1,0,1,1,1,0.833333,0.833333,0.5,0.833333,0.833333,0.833333,0.333333,0.25,0.38961,0,0.2,0.833333,0.833333,0.833333,0.833333,0.833333,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0,0.75,0,0,0,1,0,0,0
